"Dataset_Type","Sample_Size","Simulation","n","p","MeLSI_F","MeLSI_p","MeLSI_significant","Euclidean_F","Euclidean_p","Euclidean_significant","BrayCurtis_F","BrayCurtis_p","BrayCurtis_significant","Jaccard_F","Jaccard_p","Jaccard_significant","WeightedUniFrac_F","WeightedUniFrac_p","WeightedUniFrac_significant","UnweightedUniFrac_F","UnweightedUniFrac_p","UnweightedUniFrac_significant","Best_Traditional","Best_Traditional_F"
"Null Synthetic",200,49,200,200,1.19865030727267,0.82089552238806,FALSE,0.868801451609968,0.923,FALSE,0.907951486710608,0.776,FALSE,0.796921425002917,0.888,FALSE,0.876691356368137,0.667,FALSE,0.807028160006544,0.818,FALSE,"BrayCurtis",0.907951486710608
"Null Real Shuffled",200,49,200,130,1.1151598039947,0.63681592039801,FALSE,0.931916443508266,0.477,FALSE,1.02783265228612,0.418,FALSE,0.755872821680521,0.502,FALSE,0.676068112881324,0.654,FALSE,0.520869064891287,0.588,FALSE,"BrayCurtis",1.02783265228612
"Null Synthetic",50,50,50,200,1.29367918442241,0.278606965174129,FALSE,1.10182526366823,0.173,FALSE,1.02508919761979,0.39,FALSE,1.0242401118406,0.407,FALSE,1.06194199311326,0.346,FALSE,0.716123163625834,0.94,FALSE,"Euclidean",1.10182526366823
"Null Real Shuffled",50,50,50,130,1.23076555605562,0.472636815920398,FALSE,0.916385249817203,0.494,FALSE,0.740000893707388,0.658,FALSE,2.62227446130059,0.052,FALSE,0.843298921452979,0.486,FALSE,2.8963540559358,0.04,TRUE,"UnweightedUniFrac",2.8963540559358
"Null Synthetic",100,50,100,200,1.15502586686584,0.855721393034826,FALSE,0.875286857932947,0.882,FALSE,0.840662374282088,0.916,FALSE,1.02123304250095,0.446,FALSE,0.73716935039114,0.897,FALSE,1.11264709581325,0.299,FALSE,"UnweightedUniFrac",1.11264709581325
"Null Real Shuffled",100,50,100,130,1.4400012012481,0.393034825870647,FALSE,1.08219136914272,0.295,FALSE,1.04547108733632,0.389,FALSE,0.357588747256759,0.762,FALSE,1.19117245603921,0.289,FALSE,0.418126528695651,0.707,FALSE,"WeightedUniFrac",1.19117245603921
"Null Synthetic",200,50,200,200,1.35560989088663,0.45771144278607,FALSE,1.00398454667137,0.453,FALSE,0.91574966212666,0.783,FALSE,0.959739374200813,0.572,FALSE,0.887397933554574,0.681,FALSE,1.15891835274423,0.21,FALSE,"UnweightedUniFrac",1.15891835274423
"Null Synthetic",100,1,100,200,1.38759945412141,0.248756218905473,FALSE,1.11324241689979,0.13,FALSE,1.1068668558146,0.157,FALSE,1.09930644255786,0.285,FALSE,1.18633898209192,0.172,FALSE,1.22692596658006,0.144,FALSE,"UnweightedUniFrac",1.22692596658006
"Null Real Shuffled",200,5,200,130,4.41615781478773,0.00497512437810945,TRUE,4.01443233298148,0.001,TRUE,5.11544613694387,0.001,TRUE,2.19366198285031,0.096,FALSE,5.10623102489533,0.001,TRUE,2.1997763551834,0.121,FALSE,"BrayCurtis",5.11544613694387
"Null Real Shuffled",200,50,200,130,0.940257358545902,0.855721393034826,FALSE,0.611443703619287,0.867,FALSE,0.496551222367182,0.889,FALSE,1.10413656466912,0.335,FALSE,0.160617124563401,0.99,FALSE,0.485090171782667,0.68,FALSE,"Jaccard",1.10413656466912
"Null Synthetic",50,6,50,200,1.16233318799117,0.676616915422886,FALSE,0.908300063034954,0.816,FALSE,1.01031089513914,0.439,FALSE,0.787404158506448,0.89,FALSE,0.698944779863639,0.925,FALSE,0.781683695579033,0.873,FALSE,"BrayCurtis",1.01031089513914
"Null Real Shuffled",50,6,50,130,1.27824339507742,0.45273631840796,FALSE,1.4100809404369,0.122,FALSE,0.977207008094555,0.437,FALSE,0.753138042754768,0.522,FALSE,1.33533357602494,0.221,FALSE,0.940752278487531,0.406,FALSE,"Euclidean",1.4100809404369
"Null Synthetic",100,6,100,200,1.32764557789559,0.378109452736318,FALSE,0.985190255772215,0.502,FALSE,0.879728521492657,0.857,FALSE,1.00801017958919,0.478,FALSE,1.32146653049062,0.098,FALSE,0.939208388964466,0.613,FALSE,"WeightedUniFrac",1.32146653049062
"Null Real Shuffled",100,6,100,130,1.44131835747136,0.378109452736318,FALSE,1.16969284633688,0.245,FALSE,1.18343959004198,0.289,FALSE,0.758134562240229,0.549,FALSE,1.38272476886853,0.221,FALSE,1.21674896028055,0.302,FALSE,"WeightedUniFrac",1.38272476886853
"Null Synthetic",200,6,200,200,1.49191929664563,0.144278606965174,FALSE,1.09957906829726,0.167,FALSE,1.27251969066682,0.007,TRUE,0.977506911580332,0.538,FALSE,1.17115608055343,0.173,FALSE,1.01640810611146,0.45,FALSE,"BrayCurtis",1.27251969066682
"Null Real Shuffled",200,6,200,130,1.56170617385898,0.303482587064677,FALSE,0.98336741601268,0.413,FALSE,0.715030506331482,0.68,FALSE,1.97822450824664,0.124,FALSE,0.393763424910021,0.889,FALSE,2.12044117278939,0.106,FALSE,"UnweightedUniFrac",2.12044117278939
"Null Synthetic",50,7,50,200,1.29230125831617,0.293532338308458,FALSE,1.0939673842201,0.158,FALSE,1.10327846169302,0.197,FALSE,1.17109767068199,0.147,FALSE,1.37425404225068,0.061,FALSE,1.356775853825,0.04,TRUE,"WeightedUniFrac",1.37425404225068
"Null Real Shuffled",50,7,50,130,0.855274011851908,0.890547263681592,FALSE,0.878526454128096,0.562,FALSE,1.12835945323418,0.328,FALSE,1.45240791829487,0.238,FALSE,1.50409553820814,0.198,FALSE,1.22732180359383,0.301,FALSE,"WeightedUniFrac",1.50409553820814
"Null Synthetic",100,7,100,200,1.52641000739895,0.0447761194029851,TRUE,1.19060536741273,0.049,TRUE,1.10388091079242,0.201,FALSE,1.31080668496781,0.046,TRUE,0.801525934025669,0.82,FALSE,1.34673106099577,0.049,TRUE,"UnweightedUniFrac",1.34673106099577
"Null Real Shuffled",100,1,100,130,1.79214919405405,0.189054726368159,FALSE,1.52546546398147,0.104,FALSE,2.1509258846755,0.025,TRUE,1.70331496467061,0.152,FALSE,2.16494949685513,0.056,FALSE,1.69098426802817,0.193,FALSE,"WeightedUniFrac",2.16494949685513
"Null Real Shuffled",100,7,100,130,0.740564499420869,0.925373134328358,FALSE,0.568643302143703,0.936,FALSE,0.569082541453055,0.828,FALSE,1.49354498622652,0.207,FALSE,0.410209622288065,0.876,FALSE,1.44708061912324,0.207,FALSE,"Jaccard",1.49354498622652
"Null Synthetic",200,7,200,200,1.33324356595843,0.562189054726368,FALSE,0.998800397921283,0.502,FALSE,0.979684361589638,0.56,FALSE,0.777336514300466,0.908,FALSE,1.27274850161074,0.125,FALSE,0.695809950482816,0.931,FALSE,"WeightedUniFrac",1.27274850161074
"Null Real Shuffled",200,7,200,130,1.66432417704774,0.203980099502488,FALSE,1.36921906641681,0.16,FALSE,1.03596327812888,0.355,FALSE,0.636881312681096,0.572,FALSE,1.40259679438539,0.18,FALSE,0.465998110942899,0.678,FALSE,"WeightedUniFrac",1.40259679438539
"Null Synthetic",50,8,50,200,1.36643146332652,0.109452736318408,FALSE,1.11059547041713,0.127,FALSE,1.00111344058525,0.452,FALSE,1.30789233287491,0.045,TRUE,0.949196360196023,0.506,FALSE,1.27353280228696,0.098,FALSE,"Jaccard",1.30789233287491
"Null Real Shuffled",50,8,50,130,0.723769687285518,0.965174129353234,FALSE,0.567884802586003,0.921,FALSE,0.503229286389588,0.878,FALSE,0.497023281083871,0.678,FALSE,0.445232288151696,0.795,FALSE,0.293363558821107,0.84,FALSE,"Euclidean",0.567884802586003
"Null Synthetic",100,8,100,200,1.24675825562396,0.641791044776119,FALSE,0.948572504178549,0.71,FALSE,0.986389578928244,0.538,FALSE,0.682568621025802,0.973,FALSE,1.2960692840803,0.092,FALSE,0.874900491513015,0.714,FALSE,"WeightedUniFrac",1.2960692840803
"Null Real Shuffled",100,8,100,130,1.44519506988166,0.353233830845771,FALSE,1.09997039231484,0.325,FALSE,1.06413912320296,0.375,FALSE,1.22003903538449,0.264,FALSE,1.94940587431602,0.096,FALSE,1.26445079390419,0.286,FALSE,"WeightedUniFrac",1.94940587431602
"Null Synthetic",200,8,200,200,1.44289178678248,0.248756218905473,FALSE,1.09342231095902,0.182,FALSE,1.08329752045221,0.239,FALSE,1.03348443620787,0.393,FALSE,1.10932832958371,0.271,FALSE,1.26510687037047,0.117,FALSE,"UnweightedUniFrac",1.26510687037047
"Null Real Shuffled",200,8,200,130,1.15607254806158,0.601990049751244,FALSE,1.04999942562545,0.347,FALSE,1.08610316616046,0.357,FALSE,0.732901999866259,0.517,FALSE,0.98225136753493,0.399,FALSE,0.706878800847103,0.522,FALSE,"BrayCurtis",1.08610316616046
"Null Synthetic",50,9,50,200,1.37566779018701,0.114427860696517,FALSE,1.19243296098492,0.044,TRUE,1.20076864910886,0.049,TRUE,1.0763330360857,0.341,FALSE,1.6293658324012,0.018,TRUE,0.940824492774533,0.606,FALSE,"WeightedUniFrac",1.6293658324012
"Null Synthetic",200,1,200,200,1.47451404486646,0.218905472636816,FALSE,1.11095389080669,0.152,FALSE,0.995658264383011,0.505,FALSE,1.31114385823892,0.053,FALSE,0.883243695370278,0.663,FALSE,1.30667673952814,0.059,FALSE,"Jaccard",1.31114385823892
"Null Real Shuffled",50,9,50,130,1.08692360965998,0.63681592039801,FALSE,0.66596952709156,0.788,FALSE,0.613349755890233,0.806,FALSE,0.73772569190091,0.516,FALSE,0.357570663025787,0.918,FALSE,0.775785027376349,0.489,FALSE,"UnweightedUniFrac",0.775785027376349
"Null Synthetic",100,9,100,200,1.18187083252275,0.805970149253731,FALSE,0.927820816612153,0.771,FALSE,1.03429777240367,0.382,FALSE,0.584177395563171,0.995,FALSE,1.04813771128217,0.351,FALSE,0.608346502810977,0.972,FALSE,"WeightedUniFrac",1.04813771128217
"Null Real Shuffled",100,9,100,130,0.617513857845357,0.995024875621891,FALSE,0.438144658549511,0.989,FALSE,0.294741180865178,0.99,FALSE,0.44598462817097,0.725,FALSE,0.197721782456871,0.984,FALSE,0.733580189733325,0.532,FALSE,"UnweightedUniFrac",0.733580189733325
"Null Synthetic",200,9,200,200,1.25100288482435,0.771144278606965,FALSE,0.938439497190997,0.726,FALSE,0.924646816444951,0.746,FALSE,0.939025583536193,0.632,FALSE,0.77660059530996,0.829,FALSE,1.08741404100791,0.344,FALSE,"UnweightedUniFrac",1.08741404100791
"Null Real Shuffled",200,9,200,130,1.58179150587233,0.283582089552239,FALSE,1.14136617964187,0.296,FALSE,0.466442331021144,0.913,FALSE,0.622732494155512,0.581,FALSE,0.609692365769424,0.698,FALSE,0.0198267054096728,0.92,FALSE,"Euclidean",1.14136617964187
"Null Synthetic",50,10,50,200,1.00445108719281,1,FALSE,0.821720140821571,0.972,FALSE,0.895164666964514,0.815,FALSE,0.830332702909456,0.832,FALSE,0.851672151303941,0.69,FALSE,0.719828424188324,0.922,FALSE,"BrayCurtis",0.895164666964514
"Null Real Shuffled",50,10,50,130,3.22297085494712,0.00497512437810945,TRUE,3.47279090846538,0.002,TRUE,3.04996378239651,0.003,TRUE,2.39927439232771,0.073,FALSE,3.47684880166309,0.005,TRUE,2.43327250874919,0.07,FALSE,"WeightedUniFrac",3.47684880166309
"Null Synthetic",100,10,100,200,1.26928237839597,0.527363184079602,FALSE,0.977703666329297,0.589,FALSE,0.922368694517288,0.761,FALSE,0.913594409093012,0.697,FALSE,1.09156068548685,0.298,FALSE,0.907771463352736,0.647,FALSE,"WeightedUniFrac",1.09156068548685
"Null Real Shuffled",100,10,100,130,1.1617441138224,0.572139303482587,FALSE,0.855318506232397,0.567,FALSE,1.26570191560618,0.22,FALSE,0.604773955617679,0.601,FALSE,2.00857028574672,0.059,FALSE,0.771655892875152,0.507,FALSE,"WeightedUniFrac",2.00857028574672
"Null Synthetic",200,10,200,200,1.38275751108105,0.36318407960199,FALSE,1.04680756128298,0.324,FALSE,1.15813022791824,0.097,FALSE,0.873704943256655,0.76,FALSE,0.836584994193422,0.77,FALSE,0.738987975692448,0.902,FALSE,"BrayCurtis",1.15813022791824
"Null Real Shuffled",200,1,200,130,1.00223680897284,0.771144278606965,FALSE,0.636573742158962,0.845,FALSE,0.475401086256015,0.899,FALSE,1.76566535052468,0.152,FALSE,0.571169827963877,0.719,FALSE,1.54859095338631,0.209,FALSE,"Jaccard",1.76566535052468
"Null Real Shuffled",200,10,200,130,1.11034997194474,0.72636815920398,FALSE,0.673849719283528,0.8,FALSE,0.494554603045226,0.878,FALSE,0.307434464962356,0.811,FALSE,0.549211019671955,0.748,FALSE,0.0691899565731908,0.897,FALSE,"Euclidean",0.673849719283528
"Null Synthetic",50,11,50,200,1.1311742623889,0.800995024875622,FALSE,0.894503760476017,0.835,FALSE,0.895872294984896,0.804,FALSE,1.18532709436165,0.155,FALSE,1.01763859446901,0.423,FALSE,1.26688408200002,0.12,FALSE,"UnweightedUniFrac",1.26688408200002
"Null Real Shuffled",50,11,50,130,0.943372020991241,0.81592039800995,FALSE,0.729024539295781,0.727,FALSE,0.576634796861412,0.816,FALSE,0.451035736452857,0.695,FALSE,0.46634487288998,0.85,FALSE,0.516514513782133,0.609,FALSE,"Euclidean",0.729024539295781
"Null Synthetic",100,11,100,200,1.38251252125879,0.228855721393035,FALSE,1.11966460682884,0.121,FALSE,1.09769775255088,0.211,FALSE,1.3577194465205,0.021,TRUE,1.09162844510184,0.303,FALSE,1.31787175841471,0.07,FALSE,"Jaccard",1.3577194465205
"Null Real Shuffled",100,11,100,130,2.53777187916276,0.0398009950248756,TRUE,1.59488629640748,0.086,FALSE,0.98645376397006,0.422,FALSE,1.73634829870578,0.151,FALSE,1.26628627732502,0.252,FALSE,1.4649751124746,0.239,FALSE,"Jaccard",1.73634829870578
"Null Synthetic",200,11,200,200,1.34880100404696,0.462686567164179,FALSE,1.00808395584312,0.432,FALSE,1.01547245149795,0.446,FALSE,1.08096905908376,0.321,FALSE,0.653334061156384,0.972,FALSE,0.92120686986312,0.66,FALSE,"Jaccard",1.08096905908376
