"Dataset_Type","Sample_Size","Simulation","n","p","MeLSI_F","MeLSI_p","MeLSI_significant","Euclidean_F","Euclidean_p","Euclidean_significant","BrayCurtis_F","BrayCurtis_p","BrayCurtis_significant","Jaccard_F","Jaccard_p","Jaccard_significant","WeightedUniFrac_F","WeightedUniFrac_p","WeightedUniFrac_significant","UnweightedUniFrac_F","UnweightedUniFrac_p","UnweightedUniFrac_significant","Best_Traditional","Best_Traditional_F"
"Null Synthetic",50,15,50,200,1.00286682398885,0.980099502487562,FALSE,0.786196897123613,0.986,FALSE,0.990566240997002,0.522,FALSE,0.837870740796211,0.821,FALSE,0.852009735175864,0.757,FALSE,0.800904259849022,0.831,FALSE,"BrayCurtis",0.990566240997002
"Null Real Shuffled",50,15,50,130,1.4582724960628,0.353233830845771,FALSE,1.23771078250663,0.197,FALSE,1.13110185679753,0.338,FALSE,0.814721159317001,0.475,FALSE,0.899796887656409,0.431,FALSE,0.646929397337382,0.572,FALSE,"Euclidean",1.23771078250663
"Null Synthetic",100,15,100,200,1.20977069437315,0.81592039800995,FALSE,0.910335223221303,0.789,FALSE,1.17753774416995,0.058,FALSE,0.735726836455462,0.936,FALSE,1.33416656395635,0.081,FALSE,0.834540173353806,0.785,FALSE,"WeightedUniFrac",1.33416656395635
"Null Real Shuffled",100,15,100,130,1.22130369085108,0.54228855721393,FALSE,0.76468091436291,0.703,FALSE,0.815459689816028,0.598,FALSE,0.531633867205961,0.647,FALSE,0.545220695189364,0.771,FALSE,0.456916644085747,0.694,FALSE,"BrayCurtis",0.815459689816028
"Null Synthetic",200,15,200,200,1.43998456515316,0.238805970149254,FALSE,1.06364624329724,0.267,FALSE,0.932780512127986,0.74,FALSE,1.22294034303789,0.114,FALSE,0.736759224898406,0.905,FALSE,1.30143525394149,0.076,FALSE,"UnweightedUniFrac",1.30143525394149
"Null Synthetic",100,2,100,200,1.2921041066799,0.472636815920398,FALSE,0.949382215559369,0.688,FALSE,0.969196970762861,0.591,FALSE,0.920150729592023,0.659,FALSE,1.2934926478985,0.087,FALSE,1.12942980538818,0.239,FALSE,"WeightedUniFrac",1.2934926478985
"Null Real Shuffled",200,15,200,130,0.996164615871105,0.766169154228856,FALSE,0.685124803966912,0.767,FALSE,0.873771947137798,0.522,FALSE,1.19915313480259,0.287,FALSE,0.479961801839283,0.806,FALSE,1.49090127381028,0.23,FALSE,"UnweightedUniFrac",1.49090127381028
"Null Synthetic",50,16,50,200,1.41609224602121,0.0447761194029851,TRUE,1.20761244638459,0.027,TRUE,1.36646250185811,0.002,TRUE,1.09554893816662,0.315,FALSE,0.891827249791919,0.648,FALSE,1.26728296256204,0.105,FALSE,"BrayCurtis",1.36646250185811
"Null Real Shuffled",50,16,50,130,0.858960555285756,0.875621890547264,FALSE,0.665594678431243,0.772,FALSE,0.766468330993584,0.604,FALSE,0.813703235724249,0.483,FALSE,0.491701084155612,0.754,FALSE,0.723183602310898,0.518,FALSE,"Jaccard",0.813703235724249
"Null Synthetic",100,16,100,200,1.21870975756061,0.736318407960199,FALSE,0.968878896021202,0.598,FALSE,0.766279324162958,0.986,FALSE,0.954519508023655,0.59,FALSE,0.603035254372123,0.989,FALSE,1.0014208640868,0.487,FALSE,"UnweightedUniFrac",1.0014208640868
"Null Real Shuffled",100,16,100,130,1.5578098459465,0.313432835820896,FALSE,1.03410310198057,0.358,FALSE,0.77540002824135,0.622,FALSE,2.12411072307126,0.106,FALSE,0.303973581884233,0.908,FALSE,2.31333689630319,0.073,FALSE,"UnweightedUniFrac",2.31333689630319
"Null Synthetic",200,16,200,200,1.1503491399023,0.940298507462687,FALSE,0.867446783018461,0.91,FALSE,0.770095227566072,0.983,FALSE,1.04400905154679,0.389,FALSE,0.82619976592391,0.76,FALSE,0.817277170215813,0.808,FALSE,"Jaccard",1.04400905154679
"Null Real Shuffled",200,16,200,130,1.35055933288697,0.398009950248756,FALSE,1.26444883912195,0.218,FALSE,1.06813095378764,0.357,FALSE,0.522479532013447,0.654,FALSE,1.09558936662619,0.329,FALSE,0.610528248528163,0.568,FALSE,"Euclidean",1.26444883912195
"Null Synthetic",50,17,50,200,1.37929722210556,0.0796019900497512,FALSE,1.16076134876053,0.071,FALSE,1.04927549067217,0.326,FALSE,0.988266047855016,0.487,FALSE,1.22820239122682,0.132,FALSE,1.07908598158812,0.342,FALSE,"WeightedUniFrac",1.22820239122682
"Null Real Shuffled",50,17,50,130,0.928958706632684,0.845771144278607,FALSE,0.841212059055129,0.599,FALSE,0.980237762679712,0.435,FALSE,1.43945805313757,0.241,FALSE,1.17647904637574,0.287,FALSE,2.01808114595639,0.122,FALSE,"UnweightedUniFrac",2.01808114595639
"Null Synthetic",100,17,100,200,1.15281179096007,0.880597014925373,FALSE,0.868533954867349,0.922,FALSE,0.864133440549951,0.887,FALSE,0.926273031964511,0.64,FALSE,1.08727266245109,0.304,FALSE,1.06229876076819,0.378,FALSE,"WeightedUniFrac",1.08727266245109
