"Method","F_statistic","P_value","Time_sec","Significant"
"MeLSI",4.97170442911866,0.00497512437810945,30118.1816418171,TRUE
"Euclidean",4.89727924780739,0.001,3.11615133285522,TRUE
"Bray-Curtis",16.2747358072322,0.001,3.12755393981934,TRUE
"Jaccard",11.0579938363856,0.001,3.10711455345154,TRUE
