"Correlation_Level","Correlation_Value","Sample_Size","Simulation","MeLSI_F","MeLSI_p","MeLSI_significant","Precision_5","Precision_10","Precision_20","Recall_5","Recall_10","Recall_20","Mean_Rank","AUC_ROC","Euclidean_F","Euclidean_p","Euclidean_significant","BrayCurtis_F","BrayCurtis_p","BrayCurtis_significant","Jaccard_F","Jaccard_p","Jaccard_significant","WeightedUniFrac_F","WeightedUniFrac_p","WeightedUniFrac_significant","UnweightedUniFrac_F","UnweightedUniFrac_p","UnweightedUniFrac_significant","Best_Traditional","Best_Traditional_F"
"Moderate",0.6,100,37,1.41382028955839,0.18407960199005,FALSE,0.2,0.2,0.2,0.1,0.2,0.4,53.3333333333333,0.623409669211196,1.09261140138621,0.19,FALSE,1.2512005579484,0.017,TRUE,0.743486991292997,0.922,FALSE,1.01107493066303,0.445,FALSE,0.539024462160843,0.988,FALSE,"BrayCurtis",1.2512005579484
"Moderate",0.6,100,12,1.66498938535597,0.00497512437810945,TRUE,0.8,0.5,0.3,0.4,0.5,0.6,39.1,0.741538461538462,1.36584352107271,0.001,TRUE,1.81514118935857,0.001,TRUE,1.36552951264265,0.029,TRUE,1.59701453113748,0.044,TRUE,1.42586973748939,0.032,TRUE,"BrayCurtis",1.81514118935857
"Moderate",0.6,100,13,1.33897700187799,0.383084577114428,FALSE,0.4,0.3,0.35,0.2,0.3,0.7,24.375,0.849431818181818,1.08608370270229,0.202,FALSE,1.3507244236779,0.003,TRUE,1.4039284346105,0.012,TRUE,0.947414803102549,0.508,FALSE,1.52269914358592,0.009,TRUE,"UnweightedUniFrac",1.52269914358592
"Moderate",0.6,100,14,1.64653232463139,0.00497512437810945,TRUE,0.6,0.4,0.25,0.3,0.4,0.5,20.9,0.881538461538461,1.33996668722723,0.002,TRUE,1.84366128946766,0.001,TRUE,0.963567316700782,0.559,FALSE,1.3680193728638,0.115,FALSE,1.02239977821053,0.425,FALSE,"BrayCurtis",1.84366128946766
"Moderate",0.6,100,29,1.46445658531324,0.134328358208955,FALSE,0.4,0.3,0.25,0.2,0.3,0.5,35.2222222222222,0.769296013570823,1.16537339927896,0.094,FALSE,1.35482273207443,0.003,TRUE,0.847136604503586,0.801,FALSE,1.72165194515147,0.023,TRUE,0.833426201555067,0.767,FALSE,"WeightedUniFrac",1.72165194515147
"Moderate",0.6,100,16,1.32212944889203,0.472636815920398,FALSE,0.4,0.3,0.15,0.2,0.3,0.3,40.7777777777778,0.726887192536047,1.02766056233777,0.399,FALSE,1.45225725116698,0.001,TRUE,1.01597294318805,0.424,FALSE,1.10977977140197,0.288,FALSE,0.993701733481402,0.459,FALSE,"BrayCurtis",1.45225725116698
"Moderate",0.6,100,17,1.53730978117937,0.0398009950248756,TRUE,0.8,0.4,0.25,0.4,0.4,0.5,24.1,0.856923076923077,1.22829819302812,0.021,TRUE,1.53071135187673,0.001,TRUE,0.895383332142363,0.699,FALSE,1.01535916606596,0.4,FALSE,0.81781878097782,0.791,FALSE,"BrayCurtis",1.53071135187673
"Moderate",0.6,100,18,1.72809762043595,0.00497512437810945,TRUE,0.4,0.4,0.3,0.2,0.4,0.6,20.3,0.886153846153846,1.41276628952238,0.001,TRUE,1.79820348988703,0.001,TRUE,1.41462033448284,0.017,TRUE,1.2069248770663,0.209,FALSE,1.43349929424952,0.028,TRUE,"BrayCurtis",1.79820348988703
"Moderate",0.6,100,30,1.45832043217805,0.134328358208955,FALSE,0.4,0.3,0.25,0.2,0.3,0.5,38.2222222222222,0.746395250212044,1.15719742781815,0.072,FALSE,1.32586268873476,0.007,TRUE,0.978348131434505,0.522,FALSE,1.40586186583413,0.102,FALSE,1.1238136803248,0.26,FALSE,"WeightedUniFrac",1.40586186583413
"None",0,100,12,1.70881732830071,0.00497512437810945,TRUE,0.4,0.4,0.2,0.2,0.4,0.4,38.5555555555556,0.743850720949958,1.34095316780106,0.002,TRUE,1.56572488890261,0.001,TRUE,1.13260107492451,0.234,FALSE,1.22286180583226,0.172,FALSE,1.23085842773677,0.159,FALSE,"BrayCurtis",1.56572488890261
"Moderate",0.6,100,20,1.39941356346361,0.174129353233831,FALSE,0.4,0.3,0.2,0.2,0.3,0.4,41,0.726923076923077,1.12141268120826,0.128,FALSE,1.43973952883504,0.003,TRUE,0.793216552570036,0.899,FALSE,1.32507936079934,0.121,FALSE,0.729980293100013,0.893,FALSE,"BrayCurtis",1.43973952883504
"Moderate",0.6,100,21,1.48028341216296,0.0696517412935323,FALSE,0.6,0.3,0.25,0.3,0.3,0.5,22.5,0.863636363636364,1.20958255967405,0.033,TRUE,1.65440889188352,0.001,TRUE,0.737210241531232,0.922,FALSE,1.62887007930974,0.034,TRUE,0.76819142768902,0.862,FALSE,"BrayCurtis",1.65440889188352
"Moderate",0.6,100,22,1.3732288059821,0.248756218905473,FALSE,0.4,0.4,0.25,0.2,0.4,0.5,16.4285714285714,0.906552094522019,1.09318475537723,0.178,FALSE,1.33458613097997,0.008,TRUE,1.23089295404217,0.101,FALSE,1.20772880452037,0.18,FALSE,1.24406364050185,0.102,FALSE,"BrayCurtis",1.33458613097997
"Moderate",0.6,100,31,1.52069860374047,0.0646766169154229,FALSE,0.2,0.1,0.15,0.1,0.1,0.3,43.75,0.702651515151515,1.15754668931541,0.07,FALSE,1.43729356283815,0.002,TRUE,1.13115341916049,0.234,FALSE,1.4001106396587,0.092,FALSE,1.0212430296872,0.465,FALSE,"BrayCurtis",1.43729356283815
"Moderate",0.6,100,24,1.59629835552136,0.0149253731343284,TRUE,1,0.6,0.3,0.5,0.6,0.6,27.3,0.832307692307692,1.29469354327467,0.005,TRUE,1.75525095882662,0.001,TRUE,0.914917799612412,0.681,FALSE,1.40370915735037,0.085,FALSE,0.803957854839989,0.833,FALSE,"BrayCurtis",1.75525095882662
"Moderate",0.6,100,25,1.65564050669982,0.00995024875621891,TRUE,0.6,0.4,0.25,0.3,0.4,0.5,20.75,0.876893939393939,1.31921622370638,0.003,TRUE,1.66453159994919,0.001,TRUE,1.1714009395461,0.175,FALSE,1.82619022810491,0.014,TRUE,1.13628145706421,0.248,FALSE,"WeightedUniFrac",1.82619022810491
"Moderate",0.6,100,26,1.42981185249198,0.139303482587065,FALSE,0.6,0.3,0.15,0.3,0.3,0.3,50.3,0.655384615384615,1.14640032534793,0.094,FALSE,1.55107337517249,0.001,TRUE,0.752882357753717,0.922,FALSE,1.40173388963046,0.074,FALSE,0.755435054278001,0.887,FALSE,"BrayCurtis",1.55107337517249
"Moderate",0.6,100,32,1.38283011431864,0.253731343283582,FALSE,0.8,0.4,0.35,0.4,0.4,0.7,28.4444444444444,0.821034775233249,1.09581614443137,0.169,FALSE,1.41614533481625,0.001,TRUE,0.910460635412761,0.665,FALSE,1.11376517797998,0.302,FALSE,0.851097642088473,0.777,FALSE,"BrayCurtis",1.41614533481625
"Moderate",0.6,100,28,1.5333562740404,0.0348258706467662,TRUE,0.8,0.4,0.25,0.4,0.4,0.5,30.8,0.805384615384615,1.24891341973127,0.011,TRUE,1.75296800416214,0.001,TRUE,0.962544374466223,0.594,FALSE,1.36435461763836,0.097,FALSE,1.0806302100575,0.358,FALSE,"BrayCurtis",1.75296800416214
"Moderate",0.6,100,29,1.68350360653313,0.00497512437810945,TRUE,0.8,0.5,0.25,0.4,0.5,0.5,27.75,0.823863636363636,1.40638615364775,0.001,TRUE,1.63460633484036,0.001,TRUE,1.27033008151028,0.076,FALSE,2.28301211101963,0.004,TRUE,1.19704860340477,0.204,FALSE,"WeightedUniFrac",2.28301211101963
"None",0,100,4,1.53107060658628,0.0398009950248756,TRUE,0.6,0.4,0.2,0.3,0.4,0.4,28.7142857142857,0.814178302900107,1.18387923843085,0.045,TRUE,1.2760974496168,0.011,TRUE,1.3375691166679,0.041,TRUE,1.07101314463274,0.338,FALSE,1.24957600209392,0.123,FALSE,"Jaccard",1.3375691166679
"Moderate",0.6,100,30,1.40012203024002,0.17910447761194,FALSE,0.4,0.2,0.15,0.2,0.2,0.3,32.2222222222222,0.792196776929601,1.12105410643899,0.118,FALSE,1.49508523071348,0.001,TRUE,1.14583758722002,0.185,FALSE,1.08634641093225,0.309,FALSE,1.10340285580058,0.313,FALSE,"BrayCurtis",1.49508523071348
"Moderate",0.6,100,33,1.54452591848627,0.0497512437810945,TRUE,0.6,0.4,0.3,0.3,0.4,0.6,35.1,0.772307692307692,1.28479626339698,0.011,TRUE,1.71512099418762,0.001,TRUE,0.844619652740729,0.809,FALSE,1.61083952871014,0.043,TRUE,0.807816681429234,0.802,FALSE,"BrayCurtis",1.71512099418762
