"Effect_Size","Sample_Size","Simulation","MeLSI_F","MeLSI_p","MeLSI_significant","Euclidean_F","Euclidean_p","Euclidean_significant","BrayCurtis_F","BrayCurtis_p","BrayCurtis_significant","Jaccard_F","Jaccard_p","Jaccard_significant","WeightedUniFrac_F","WeightedUniFrac_p","WeightedUniFrac_significant","UnweightedUniFrac_F","UnweightedUniFrac_p","UnweightedUniFrac_significant","Best_Traditional","Best_Traditional_F"
"Large",100,24,2.10561921738744,0.00497512437810945,TRUE,2.08885229237005,0.001,TRUE,4.72294497237647,0.001,TRUE,0.900582722530594,0.722,FALSE,4.77024022879255,0.001,TRUE,1.12310991766331,0.26,FALSE,"WeightedUniFrac",4.77024022879255
"Small",200,24,1.27360795360491,0.716417910447761,FALSE,0.955280328801123,0.676,FALSE,1.1149507162885,0.184,FALSE,0.737045388644299,0.929,FALSE,1.59967573443137,0.017,TRUE,0.632848482686095,0.967,FALSE,"WeightedUniFrac",1.59967573443137
"Medium",200,24,1.58953518357269,0.0348258706467662,TRUE,1.29737724372191,0.004,TRUE,2.14821941350479,0.001,TRUE,0.978621850133303,0.559,FALSE,1.60269103979301,0.032,TRUE,0.860447287616955,0.741,FALSE,"BrayCurtis",2.14821941350479
"Large",200,24,3.22151025997881,0.00497512437810945,TRUE,3.22994663834542,0.001,TRUE,8.87462061244399,0.001,TRUE,0.760466104618231,0.921,FALSE,7.43617572076024,0.001,TRUE,0.596068421003376,0.975,FALSE,"BrayCurtis",8.87462061244399
"Small",50,25,1.26275730882459,0.388059701492537,FALSE,1.05479766041873,0.273,FALSE,1.12479423645979,0.14,FALSE,1.09939169462531,0.3,FALSE,0.975135321396158,0.478,FALSE,0.933239547261655,0.619,FALSE,"BrayCurtis",1.12479423645979
"Medium",50,25,1.32409490140688,0.169154228855721,FALSE,1.0755876683363,0.22,FALSE,1.23514092002532,0.028,TRUE,0.999740804003703,0.503,FALSE,1.03610620663044,0.365,FALSE,1.17341540762036,0.195,FALSE,"BrayCurtis",1.23514092002532
"Large",50,25,1.75979368473192,0.00497512437810945,TRUE,1.53304021826486,0.001,TRUE,3.00145938868125,0.001,TRUE,1.01281518389988,0.492,FALSE,2.57960968989889,0.001,TRUE,1.23233634413526,0.133,FALSE,"BrayCurtis",3.00145938868125
"Small",100,3,1.39431487400408,0.17910447761194,FALSE,1.09369902302607,0.193,FALSE,1.11717575726511,0.15,FALSE,1.42888555990244,0.018,TRUE,0.798314355330074,0.8,FALSE,1.27854224699905,0.109,FALSE,"Jaccard",1.42888555990244
"Small",100,25,1.4096998466518,0.203980099502488,FALSE,1.14008827119859,0.102,FALSE,1.07371119013149,0.247,FALSE,1.12592584929548,0.233,FALSE,1.51389805331803,0.031,TRUE,1.07133268161212,0.374,FALSE,"WeightedUniFrac",1.51389805331803
"Medium",100,25,1.3594399647,0.263681592039801,FALSE,1.09070291447193,0.182,FALSE,1.51520216411552,0.002,TRUE,0.629604133648134,0.983,FALSE,2.06386539215893,0.001,TRUE,0.505053596948138,0.994,FALSE,"WeightedUniFrac",2.06386539215893
