"dataset","n_samples","n_taxa","melsi_F","melsi_p","melsi_significant","melsi_time","bray_F","bray_p","bray_significant","bray_time","euclidean_F","euclidean_p","euclidean_significant","euclidean_time","jaccard_F","jaccard_p","jaccard_significant","jaccard_time","weighted_unifrac_F","weighted_unifrac_p","weighted_unifrac_significant","weighted_unifrac_time","unweighted_unifrac_F","unweighted_unifrac_p","unweighted_unifrac_significant","unweighted_unifrac_time","permanova_s_F","permanova_s_time"
"Synthetic_Weak",60,150,2.06187895658621,0.05,FALSE,13.1760120391846,1.06844522811684,0.238,FALSE,0.0397710800170898,1.20570024055913,0.047,TRUE,0.0385279655456543,1.03165681958442,0.287,FALSE,0.0387420654296875,1.00574420877512,0.426,FALSE,0.141026973724365,1.33073651699883,0.111,FALSE,0.0368039608001709,1.12845660280687,3.00407409667969e-05
"Synthetic_Medium",60,150,2.15015264162202,0.05,FALSE,12.4590017795563,1.17245298428227,0.063,FALSE,0.0383999347686768,1.43796724439057,0.002,TRUE,0.0378270149230957,1.08893389262272,0.078,FALSE,0.0384540557861328,0.731440908354171,0.807,FALSE,0.139853954315186,1.31225802480641,0.105,FALSE,0.0383179187774658,1.14861061089123,3.19480895996094e-05
"Synthetic_Strong",60,150,2.33454562696277,0.05,FALSE,13.1049101352692,1.2781675577711,0.009,TRUE,0.0404901504516602,1.59550986641662,0.001,TRUE,0.0386040210723877,1.14732332968172,0.014,TRUE,0.0656759738922119,1.01996325251907,0.409,FALSE,0.15886402130127,1.33607162545422,0.11,FALSE,0.0428318977355957,1.27540712636855,4.22000885009766e-05
"Real_Atlas1006_Sex",1114,123,6.04809136888558,0.05,FALSE,755.393172979355,4.44199954336043,0.001,TRUE,20.2051417827606,4.73345511533064,0.001,TRUE,21.3539140224457,3.41399677178878,0.001,TRUE,19.9930109977722,3.77137732865163,0.008,TRUE,47.0110559463501,1.68785956913195,0.159,FALSE,20.6493999958038,3.60973766565269,0.000169992446899414
"Real_soilrep_warming",56,3853,1.96610467917937,0.05,FALSE,2904.18050789833,0.97551785211987,0.418,FALSE,0.075355052947998,1.04221170632838,0.287,FALSE,0.0602631568908691,1.00346101080123,0.354,FALSE,0.0839128494262695,NA,NA,NA,0,NA,NA,NA,0,1.00706352308316,7.39097595214844e-05
