"Dataset","n","p","MeLSI_F","MeLSI_p","Euclidean_F","Euclidean_p","BrayCurtis_F","BrayCurtis_p","Jaccard_F","Jaccard_p","WeightedUniFrac_F","WeightedUniFrac_p","UnweightedUniFrac_F","UnweightedUniFrac_p","Best_Traditional","Best_Traditional_F"
"Null Synthetic",200,200,1.30739575678651,0.606965174129353,0.963844408528737,0.638,0.947803487290637,0.658,1.20744412663122,0.13,0.976200827993324,0.468,1.44196665223322,0.028,"UnweightedUniFrac",1.44196665223322
"Null Real Shuffled",200,130,1.73685595105338,0.223880597014925,1.21547001743736,0.249,1.02020074667711,0.397,1.16150895558457,0.295,0.427397962010233,0.841,0.995889381743612,0.394,"Euclidean",1.21547001743736
